"Geo","tick","run","random_seed"
"133.56203157465566 360.1857548387108 0.6794602771439464",401.0,1,1248708014
"136.71422925374392 359.9126575495163 0.5709040889973369",401.0,1,1248708014
"142.09099143870117 362.1515079128534 0.7872586535742268",401.0,1,1248708014
"321.70921330195785 3.2472687775379643 0.6816142515008135",401.0,1,1248708014
"322.1292870213082 15.012052406690804 0.582200567622812",401.0,1,1248708014
"317.7799923669665 4.186345557225504 0.5755473805242884",401.0,1,1248708014
"322.73879103294087 4.037953388959884 0.6197894579988774",401.0,1,1248708014
"219.79261030011727 165.13238654461642 0.6056150549735805",401.0,1,1248708014
"367.8960807589147 64.59112898143293 0.6536720063427054",401.0,1,1248708014
"219.52264291279192 161.0206175113165 0.6687138609697681",401.0,1,1248708014
"135.41572542670255 362.110563839296 0.6471139888993438",401.0,1,1248708014
"322.81175643842965 11.931521671689598 0.5927785226241735",401.0,1,1248708014
"320.91082577002487 16.46740779790745 0.7797032613215985",401.0,1,1248708014
"16.468393865510233 158.41005307684443 0.7597356790905043",401.0,1,1248708014
"135.7265799323667 359.33453693033465 0.5754556934233679",401.0,1,1248708014
"10.733429633329253 153.38726251415545 0.593404210809643",401.0,1,1248708014
"317.04775667671584 10.808211827505572 0.6586179266225475",401.0,1,1248708014
"225.19302045889194 167.4585603554124 0.6147160293971322",401.0,1,1248708014
"369.5893232900457 70.46173436595507 0.6968652411805402",401.0,1,1248708014
"315.5951911445782 7.126691816389223 0.758112503073871",401.0,1,1248708014
"314.00526853187336 9.435988966909054 0.6753043311479547",401.0,1,1248708014
"133.30429190211774 358.37572536745625 0.5802297432751776",401.0,1,1248708014
"322.03792066687345 10.975950635041858 0.6424510283599288",401.0,1,1248708014
"137.7775328640741 359.47610000745163 0.5839056112002475",401.0,1,1248708014
"139.05189824228162 359.2900322634491 0.7078313390263744",401.0,1,1248708014
"17.67915999432631 155.4623600596055 0.7325824864999674",401.0,1,1248708014
